,,Name,Location,Cat ,Web
55,,Bromocresol Purple,Chemical drawer 663,A19350,alfa.com
56,,Bromophenol Blue Sodium Salt,Chemical drawer 663,15022,mpbio.com
57,,Bromothymol blue,Chemical drawer 663,B0687,tcichemicals.com
58,5-,Bromouracil,Chemical drawer 663,852473-5G,sigmaaldrich.com
59,,Brucella broth,Annie's bench 607,211088,bdbiosciences.com
60,,BRUCELLA MEDIUM BASE 500G,Chemical cabinet 663,CM0169,thermofisher.com
61,N-tert-,Butyldimethylsilyl-N-methyltrifluoroacetamide,Fridge 663,19918,sigmaaldrich.com
62,,Calcein,Chemical cabinet 663,C0815-5G,sigmaaldrich.com
63,,Calcium chloride dihydrate,Chemical cabinet  and fume hood 663,BP510-500,fishersci.com
64,,Calcium nitrate ,Chemical cabinet 663,7270780,bdbiosciences.com
65,,Calcium nitrate tetrahydrate,Chemical cabinet 663,423535000,fishersci.com
66,,Carbenicillin disodium salt,Chemical drawer and fridge 663,C0283-25G,sigmaaldrich.com
67,,Carbonate-bicarbonare buffer,Chemical drawer 663,C3041-50CAP,sigmaaldrich.com
68,,Casamino acids ,Chemical cabinet 663,J851-500G,us.vwr.com
69,,Casein from bovine milk,Chemical cabinet 663,C7070-500G,sigmaaldrich.com
70,,Casitone bacto,Chemical cabinet 663,225930,bdbiosciences.com
71,,Catalase from bovine liver,Side -20 663,C1345-1G,sigmaaldrich.com
72,,Cefaclor,Fridge back and side -20 663,C6895-100MG,sigmaaldrich.com
73,,Cefoperazone sodium salt ,Fridge 663,C4292-5G,sigmaaldrich.com
74,,Ceftriaxone disodium salt hemi(heptahydrate),Fridge 663,C2226,tcichemicals.com
75,D-(+)-,Cellobiose,Chemical cabinet and fume hood 663,C7252-100G,sigmaaldrich.com
76,,Chloramphenicol,Chemical drawer 663,C-0378,sigmaaldrich.com
77,,Chloric acid sodium salt,Chemical drawer 663,229101-50G,emdmillipore.com
78,,Chloroform,607 Fume hood,C298-500,fishersci.com
79,(±)-,Chlorpheninamine maleate,Chemical drawer 663,C3025-5G,sigmaaldrich.com
80,,Cholesterol,Chemical cabinet and Hood 663,F676-05,avantornic.com
81,,Choline chloride,Chemical drawer 663,C7017-25G,sigmaaldrich.com
82,,Ciprofloxacin,Chemical drawer 663,17850-5G-F,sigmaaldrich.com
83,,Citric acid anhydrous,Chemical cabinet 663,BP339-500,fishersci.com
84,,Clindamycin phosphate,Fridge 663,C2257,tcichemicals.com
85,,Clostridien agar,Chemical cabinet 663,V376110,emdmillipore.com
86,,Cobalt(II) chloride hexahydrae,Chemical drawer 663,C8661-25G,sigmaaldrich.com
87,,Colistin Sulfate,Fridge 663,00068,chemimplex.com
88,,Columbia agar MLT,Chemical cabinet 663,R45412,remel.com
89,,Columbia blood agar,Chemical cabinet 663,CM0331,thermofisher.com
90,,Columbia broth,Chemical drawer 663,274420,bdbiosciences.com
91,,Copper (II) chloride,Chemical drawer 663,203149-10G,sigmaaldrich.com
92,,Copper (II) sulfate pentahydrate,Chemical drawer 663,203009A,southernbiotech.com
93,D-(+)-,Cycloserine,Fridge 663,00618,chemimpex.com
94,L-,Cysteine,Chemical drawer 663,C7352-100F,sigmaaldrich.com
95,L-,Cysteine HCl Anhydrous,Chemical drawer 663,C1267-50G,sigmaaldrich.com
96,,Cytarabine,Fridge 663,1162002,sigmaaldrich.com
97,  ,Cytidine,Chemical drawer fridge 663,C4654-1G,sigmaaldrich.com
98,,Cytidine 3'-monophosphate,Side -20 663,C-1133,sigmaaldrich.com
99,,Cytidine 5'-monophosphate,Side -20 663,C131-1G,sigmaaldrich.com
100,,Dantrolene sodium salt,Chemical drawer 663,D9175-100MG,sigmaaldrich.com
101,,Daptomycin,Side -20 663,D2446-1MG,sigmaaldrich.com
102,,Decanal,Fridge 663,D7384-25G,sigmaaldrich.com
103,,Decoyinine,Fridge 663,A-230,biomol.com
104,,Denatonium benzoate,Chemical drawer 663,D5765-5G,sigmaaldrich.com
105,,Deoxycholic acid minimum 99%,Chemical cabinet 663,D2510-100G,sigmaaldrich.com
106,,Deoxyribonuclease,Back freezer 663,DN25-1G,sigmaaldrich.com
107,2 -,Deoxyridine 5 - monophosphate dissodium salt,Back -20 663,D3876-100MG,sigmaaldrich.com
108,,Dextrose anhydrous,Large chemical cabinet and fume hood 663,BP350-1,fishersci.com
109,,Dihdrofolic acid dyhydrate,Back -20 663,271462-25MG,sigmaaldrich.com
110,56-,Dimethylbenzimidazole,Chemical cabinet 663,D147206-25G,sigmaaldrich.com
111,2-4,Dinitrophenyihydrazine,Chemical drawer 663,D199303-25G,sigmaaldrich.com
112,,Dithiothreitol (DTT),Fridge and back -20 663,F780-02,avantornic.com
113,,DNA from herring sperm,Fridge 663,D3159-10G,sigmaaldrich.com
114,,Dodecanoic acid,Jenny's bench 663,A11672,alfa.com
115,,EDTA disodium salt dihydrate,Chemical cabinet 663,15576-028,thermofisher.com
116,,EGTA,Chemical cabinet and drawer 663,0732-100G,us.vwr.com
117,,Elliker broth,Chemical cabinet 663,212183,bdbiosciences.com
118,,Enrofloaxin,Chemical drawer 663,17849,sigmaaldrich.com
119,,Enterococcosel agar,Fridge 607,212205,bdbiosciences.com
120,,Enterococcosel broth,Annie's Bench 663,212207,bdbiosciences.com
121,,Epinephrine,Fridge 663,E1635-5G,sigmaaldrich.com
122,,Erythromycin,Chemical drawer 663,BP920-25,fishersci.com
123,?-,Estradiol,Chemical drawer 663,E2758-250MG,sigmaaldrich.com
124,,Ethanol,Everywhere,64-17-5,deconlabs.com
125,,Ethidium bromide,Chemical drawer 663,00666,chemimpex.com
126,,Ethyl methane sulfonate,Fridge 663,M0880-25MG,sigmaaldrich.com
127,,Ferric chloride anhydrous,Chemical cabinet 663,I72-500,fishersci.com
128,,Ferrous sulfate,Chemical cabinet 663,I-146,fishersci.com
129,,Flumequine,Chemical drawer 663,F7016-16,sigmaaldrich.com
130,5-,Fluorouracil,Chemical drawer 663,F6627-5G,sigmaaldrich.com
131,5-,Fluorouridine,Chemical drawer 663,F5130-100MG,sigmaaldrich.com
132,,Folic Acid,Chemical drawer and fume hood 663,BP25195,fishersci.com
133,D(-),Fructose,Chemical cabinet and fume hood 663,L95-500,fishersci.com
134,L-,Fucose,Chemical drawer and fume hood 663,F2525-5G,sigmaaldrich.com
135,,Fusidic acid sodium salt,Fridge 663,F0881-1G,sigmaaldrich.com
136,N-acetyl-D-,Galactosamine,Fridge 663,A2795-100MG,sigmaaldrich.com
137,D(+),Galactose,Chemical cabinet and fume hood 663,G0625-500G,sigmaaldrich.com
138,D-(+),Galactose minimum,Chemical drawer 663,G0750-10G,sigmaaldrich.com
139,,Gelatin from bovine skin,Chemical cabinet 663,G9382-100G,sigmaaldrich.com
140,,Gelatin from porcine skin type A,Chemical drawer 663,G2500-100G,sigmaaldrich.com
141,,Gentomycin sulfate,Fridge 663,455310010,fishersci.com
142,N-acetyl-D-,Glucosamine 25g,Side -20 663,A3286-5G,sigmaaldrich.com
