ID,,Name,Location,Cat ,Web
741,,Thiamine pyrophosphate,Side -20 663,C8754-25G,sigmaaldrich.com
742,,Thiamphenicol,Chemical drawer 663,156846 ,mpbio.com
743,DL-,Threonine,Chemical drawer 663,103050,mpbio.com
744,,Thymidine,Chemical drawer Fridge and Back -20 663,T9250-5G,sigmaaldrich.com
745,,Trehalose 6  phosphate dipotassium salt,Side -20 663,T4272-25G,sigmaaldrich.com
746,,Trehalose dihydrate,Chemical drawer 663,625625-50GM,emdmillipore.com
747,,Tricine,Chemical cabinet 663,T5816-1006,sigmaaldrich.com
748,,Tricine buffer,Fridge 607,161-0744,bio-rad.com
749,,Tris base ultrapure,Large chemical cabinet 663,T60040-1000.0,rpicorp.com
750,,Tris hydrochloride,Chemical cabinet 663,15506-017,thermofisher.com
751,,Tris,Chemical cabinet 663,049-500G,us.vwr.com
752,,Triton X 100,Chemical cabinet 663,t8787-250ML,sigmaaldrich.com
753,,Trypsin,Back -20 663,T4799-5G,sigmaaldrich.com
754,,Tryptic soy broth,Annie's bench 607,211825,bdbiosciences.com
755,,Trypticase peptone,Chemical cabinet 663,211921,bdbiosciences.com
756,,Tryptone bacto,Chemical cabinet 663,211705,bdbiosciences.com
757,L-(-),Tryptophan,Chemical drawer and fume hood 663,140590251,fishersci.com
758,,Tryptose blood agar base,Chemical cabinet 663,223220,bdbiosciences.com
759,,Tween 20,Chemical cabinet 663 and Nakil's bench 607,0777-1L,us.vwr.com
760,,Tween 80,Chemical cabinet 663,0442-1L,us.vwr.com
761,L-,Tyrosine,Chemical drawer Fume hood and Large chemical cabinet 663,T3754-50G,sigmaaldrich.com
762,,Uracil,Chemical drawer 663,U1128-25G,sigmaaldrich.com
763,,Urea,chemical cabinet 663,8648,mallinckrodt.com
764,,Uridine,Chemical drawer 663,U3003-5G,sigmaaldrich.com
765,Cis-,Vaccenic acid,Side -20 663,103223,mpbio.com
766,L-,Valine,Chemical drawer and fume hood 663,A12770,alfa.com
767,,Vancomycin,Fridge 663,BP2958-1,fishersci.com
768,,Vancomycin hydrochloride,Fridge 663,J62790,alfa.com
769,,Vitamin B12,Frdige 663,V2876-1G,sigmaaldrich.com
770,,Vitamin K1,Fridge 663,V3501-5G,sigmaaldrich.com
771,,Wilkins chalgren anaerobic agar,Chemical cabinet 663,CMK0619,thermofisher.com
772,,Xanthine,Chemical drawer 663,X737510,sigmaaldrich.com
773,,X-gal powder,Fridge 663,C-5687-1G,bioexpress.com
774,,Xylan,Chemical drawer 663,X0064,tcichemicals.com
775,,Xylene cyanole f.f.,Chemical drawer 663,806801,mpbio.com
776,D-(+),Xylose,Chemical cabinet 663,X0019,tcichemicals.com
777,,Yeast extract bacto,Chemical cabinet 663 and Annies' bench 607,BP1422-500,fishersci.com
778,,Yeast nitrogen base without amino acids,Chemical cabinet 663,291940,bdbiosciences.com
779,,Zinc acetate dihydrate,Chemical cabinet 663,3658-500G,sigmaaldrich.com
780,,Zinc chloride,Chemical cabinet 663,208056-100G,sigmaaldrich.com
781,,Zinc sulfate heptahydrate,Chemical drawer 663,24750-100G,sigmaaldrich.com
