ID,,Name,Location,Cat #,Web
178,,Cholesterol,Chemical cabinet and Hood 663,F676-05,avantornic.com
179,,Choline chloride,Chemical drawer 663,C7017-25G,sigmaaldrich.com
180,,Ciprofloxacin,Chemical drawer 663,17850-5G-F,sigmaaldrich.com
181,,Citric acid anhydrous,Chemical cabinet 663,BP339-500,fishersci.com
182,,Clindamycin phosphate,Fridge 663,C2257,tcichemicals.com
183,,Clostridien agar,Chemical cabinet 663,V376110,emdmillipore.com
184,,Cobalt(II) chloride hexahydrae,Chemical drawer 663,C8661-25G,sigmaaldrich.com
185,,Colistin Sulfate,Fridge 663,00068,chemimplex.com
186,,Columbia agar MLT,Chemical cabinet 663,R45412,remel.com
187,,Columbia blood agar,Chemical cabinet 663,CM0331,thermofisher.com
188,,Columbia broth,Chemical drawer 663,274420,bdbiosciences.com
189,,Copper (II) chloride,Chemical drawer 663,203149-10G,sigmaaldrich.com
190,,Copper (II) sulfate pentahydrate,Chemical drawer 663,203009A,southernbiotech.com
191,D-(+)-,Cycloserine,Fridge 663,00618,chemimpex.com
192,L-,Cysteine,Chemical drawer 663,C7352-100F,sigmaaldrich.com
193,L-,Cysteine HCl Anhydrous,Chemical drawer 663,C1267-50G,sigmaaldrich.com
194,,Cytarabine,Fridge 663,1162002,sigmaaldrich.com
195,  ,Cytidine,Chemical drawer fridge 663,C4654-1G,sigmaaldrich.com
196,,Cytidine 3'-monophosphate,Side -20 663,C-1133,sigmaaldrich.com
197,,Cytidine 5'-monophosphate,Side -20 663,C131-1G,sigmaaldrich.com
198,,Dantrolene sodium salt,Chemical drawer 663,D9175-100MG,sigmaaldrich.com
199,,Daptomycin,Side -20 663,D2446-1MG,sigmaaldrich.com
200,,Decanal,Fridge 663,D7384-25G,sigmaaldrich.com
201,,Decoyinine,Fridge 663,A-230,biomol.com
202,,Denatonium benzoate,Chemical drawer 663,D5765-5G,sigmaaldrich.com
203,,Deoxycholic acid minimum 99%,Chemical cabinet 663,D2510-100G,sigmaaldrich.com
204,,Deoxyribonuclease,Back freezer 663,DN25-1G,sigmaaldrich.com
205,2 -,Deoxyridine 5 - monophosphate dissodium salt,Back -20 663,D3876-100MG,sigmaaldrich.com
206,,Dextrose anhydrous,Large chemical cabinet and fume hood 663,BP350-1,fishersci.com
207,,Dihdrofolic acid dyhydrate,Back -20 663,271462-25MG,sigmaaldrich.com
208,56-,Dimethylbenzimidazole,Chemical cabinet 663,D147206-25G,sigmaaldrich.com
209,2-4,Dinitrophenyihydrazine,Chemical drawer 663,D199303-25G,sigmaaldrich.com
210,,Dithiothreitol (DTT),Fridge and back -20 663,F780-02,avantornic.com
211,,DNA from herring sperm,Fridge 663,D3159-10G,sigmaaldrich.com
212,,Dodecanoic acid,Jenny's bench 663,A11672,alfa.com
213,,EDTA disodium salt dihydrate,Chemical cabinet 663,15576-028,thermofisher.com
214,,EGTA,Chemical cabinet and drawer 663,0732-100G,us.vwr.com
215,,Elliker broth,Chemical cabinet 663,212183,bdbiosciences.com
216,,Enrofloaxin,Chemical drawer 663,17849,sigmaaldrich.com
217,,Enterococcosel agar,Fridge 607,212205,bdbiosciences.com
218,,Enterococcosel broth,Annie's Bench 663,212207,bdbiosciences.com
219,,Epinephrine,Fridge 663,E1635-5G,sigmaaldrich.com
220,,Erythromycin,Chemical drawer 663,BP920-25,fishersci.com
221,β-,Estradiol,Chemical drawer 663,E2758-250MG,sigmaaldrich.com
222,,Ethanol,Everywhere,64-17-5,deconlabs.com
223,,Ethidium bromide,Chemical drawer 663,00666,chemimpex.com
224,,Ethyl methane sulfonate,Fridge 663,M0880-25MG,sigmaaldrich.com
225,,Ferric chloride anhydrous,Chemical cabinet 663,I72-500,fishersci.com
226,,Ferrous sulfate,Chemical cabinet 663,I-146,fishersci.com
227,,Flumequine,Chemical drawer 663,F7016-16,sigmaaldrich.com
228,5-,Fluorouracil,Chemical drawer 663,F6627-5G,sigmaaldrich.com
229,5-,Fluorouridine,Chemical drawer 663,F5130-100MG,sigmaaldrich.com
230,,Folic Acid,Chemical drawer and fume hood 663,BP25195,fishersci.com
231,D(-),Fructose,Chemical cabinet and fume hood 663,L95-500,fishersci.com
232,L-,Fucose,Chemical drawer and fume hood 663,F2525-5G,sigmaaldrich.com
233,,Fusidic acid sodium salt,Fridge 663,F0881-1G,sigmaaldrich.com
234,N-acetyl-D-,Galactosamine,Fridge 663,A2795-100MG,sigmaaldrich.com
235,D(+),Galactose,Chemical cabinet and fume hood 663,G0625-500G,sigmaaldrich.com
236,D-(+),Galactose minimum,Chemical drawer 663,G0750-10G,sigmaaldrich.com
237,,Gelatin from bovine skin,Chemical cabinet 663,G9382-100G,sigmaaldrich.com
238,,Gelatin from porcine skin type A,Chemical drawer 663,G2500-100G,sigmaaldrich.com
239,,Gentomycin sulfate,Fridge 663,455310010,fishersci.com
240,N-acetyl-D-,Glucosamine 25g,Side -20 663,A3286-5G,sigmaaldrich.com
241,D-,Glucose-6-phosphate disodium salt hydrate,Back -20 663,100312,mpbio.com
242,D-,Glucuronic acid,Chemical drawer 663,G5269-10G,sigmaaldrich.com
243,L-,Glutamic acid,Chemicasl drawer 663,G1251-100G,sigmaaldrich.com
244,L-,Glutamic acid monosodium salt hydrate,Chemical cabinet 663,G1626-500G,sigmaaldrich.com
245,L-,Glutamine,Chemical drawer and fume hood 663,BP379-100,fishersci.com
246,,Glutaraldehyde solution,Back -20 663,G5882-100ML,sigmaaldrich.com
247,L-,Glutathione oxidized,Side -20 663,G4626-100MG,sigmaaldrich.com
248,L-,Glutathione reduced,Back -20 663,G4251-100G,sigmaaldrich.com
249,,Glycerol,Chemical cabinet and Armando's bench 663,G22020-1.0,rpicorp.com
250,B-,Glycerophosphate disodium salt hydrate,Chemical cabinet 663,C9422-100G,sigmaaldrich.com
251,,Glycine,Chemical cabinet Fume hood and large chemical cabinet 663,G7126-500G,sigmaaldrich.com
252,Ultra Pure,Guanidine hydrochloride,Chemical cabinet 663,15502-016,thermofisher.com
253,,Guanidine thiocyanate solution,Chemical drawer 663,50983-50ML,sigmaaldrich.com
254,,Guanine HCl,Chemical drawer 663,411120250,fishersci.com
255,,Guanosine 5'-[8-thio] triphosphate tetralithium salt,Chemical cabinet 663,G8634,sigmaaldrich.com
256,,Guanosine 5'-diphosphate,Side -20 663,G727-100MG,sigmaaldrich.com
257,,Guar gum,chemical cabinet,G9008-100G,aquasolutions.org
258,,Hemin,Fridge 663,H651-9,frontierscience.com
259,,HEPES,Chemical cabinet 663,H3375-100G,sigmaaldrich.com
260,,HEPES buffer,Fridge 663,H0887,sigmaaldrich.com
261,L-,Histidine,Chemical drawer and fume hood 663,A10413,alfa.com
262,,Hydroxylamine Hydrochloride,Chemical drawer 663,HX0770-2,emdmillipore.com
263,trans-4-,Hydroxyl-L-proline,Chemical drawer 663,121700250,fishersci.com
264,p-,Hydroxyphenyl Acetic acid,Chemical cabinet 663,H-4377,sigmaaldrich.com
265,,Hydroxyurea,Fridge 663,H8671G,sigmaaldrich.com
266,,Imidazole,Chemical cabinet 663,I0125-100G,sigmaaldrich.com
267,,Indomethacin,Chemical drawer 663,I7378-5G,sigmaaldrich.com
268,,Inosine,Chemical drawer 663,I4125-5G,sigmaaldrich.com
269,,Inulin,Chemical cabinet and fume hood 663,A18425,alfa.com
270,,Inulin from dahlia tubers,Chemical cabinet 663,13754-25G,sigmaaldrich.com
271,,Iodoacetamide,Fridge and side -20 663,16125-5G,sigmaaldrich.com
272,,Iron (II) chloride,Chemical drawer 663,372870-25,sigmaaldrich.com
273,,Iron (II) sulfate heptahydrate,Chemical cabinet 663,F7002-250G,sigmaaldrich.com
274,L-,Isoleucine,Chemical drawer 663,4160-100GM,emdmillipore.com
275,L,Isoleucine,Fume hood 663,I2752-25G,sigmaaldrich.com
276,,Isopropyl-B-D-Thiogalactopyranoside,Side -20 663,CI8280-13,denvillescientific.com
277,,Kanamycin sulfate,Chemical drawer and fridge 663,0408-10G,us.vwr.com
278,,Kasugamycin,Fridge 663,K-4013,sigmaaldrich.com
279,,Kethoxal,Side -20 663,17930,usbweb.com
280,L-(+)-,Lactic acid solution 30% in water by weight,Fridge 663,L1875-100ML,sigmaaldrich.com
281,,Lactobacilli MRS agar,Fridge 663 Fridge 607,7543B,hardydiagnostics.com
282,,Lactobacilli MRS broth,Fridge 663 Fridge 607,288110,bdbiosciences.com
283,,Lactose,Chemical cabinet 663,215620,bdbiosciences.com
